indicativo,p_max,n_fog,inso,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,p_sol,nw_91,np_001,ta_min,np_300,evap,p_mes,n_tor,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_gra,n_llu,n_nie,w_rec,n_cub,q_max,q_med,nv_0050,n_des,n_nub,nv_1000,nv_0100,q_min,hr,q_mar,e,glo
6155A,0.0(--),0,11.6,1,19.1,37.2(30),24,13,28/15.6(29),0,79,0,0,16.4(16),0,1367,0,1,14,0,24,24.3,29.6,0,2005-06,0,1,0,337,0,1022.0(07),1015.4,0,14,16,0,0,1006.7(12),53,1016.2,165,NA
6155A,0.0(--),0,11.4,1,22,40.4(17),26.2,17,32/16.1(18),0,79,0,0,17.6(13),0,1901,0,0,16,0,27.6,27,32,0,2005-07,0,0,0,384,0,1024.2(20),1014,0,23,8,0,0,1006.7(24),51,1014.8,183,NA
6155A,0.2(19),1,9.8,0,21.1,38.0(26),25.2,16,33/13.9(10),0,72,0,1,17.0(24),0,1194,0.2,0,13,0,26.2,25.8,30.4,0,2005-08,0,1,0,309,1,1021.2(04),1014.6,0,18,12,0,0,1006.7(08),61,1015.4,201,NA
6155A,0.5(06),0,9.1,3,18.5,37.4(05),22.6,8,33/15.6(05),0,73,0,2,12.8(21),0,1450,0.7,1,14,0,24,23.4,28.3,0,2005-09,0,3,0,343,1,1023.1(29),1016.3,0,10,19,0,0,1006.5(07),57,1017.1,164,NA
6155A,18.1(10),1,6.8,1,16,27.4(21),20,0,34/15.6(13),2,60,0,8,11.2(15),0,494,45.8,1,11,0,21.2,20,23.9,6,2005-10,0,9,0,301,6,1022.3(25),1017,0,4,21,1,0,1012.2(22),71,1017.9,167,NA
6155A,19.8(14),0,6.2,6,10.2,24.0(02),15.4,0,32/20.6(09),2,60,0,8,5.5(28),0,678,44.8,2,13,0,15,14.8,19.4,5,2005-11,0,8,0,376,5,1027.9(09),1016.4,0,6,19,0,0,1003.7(13),66,1017.3,114,NA
6155A,1.9(25),0,4,8,8.8,21.6(04),14.6,0,33/23.3(31),0,42,0,4,4.0(12),0,642,3.6,0,16,0,14,13.1,17.4,1,2005-12,0,8,0,420,5,1026.6(11),1019.2,0,4,22,0,0,1009.8(27),70,1020,108,NA
6155A,37.0(28/feb),4,8.2,38,13.7,40.4(17/jul),26.2,59,33/23.3(31/dic),12,66,0,49,-0.2(27/ene),1,11820,296.2,11,14,1,9.4,18.6,23.4,28,2005-13,1,65,0,365,40,1039.1(11/feb),1017,0,130,195,1,0,994.3(28/feb),61,1017.8,137,NA
6155A,74.5(27),0,4.7,7,7.4,19.2(03),12.2,0,10/20.6(30),2,48,0,12,2.2(29),1,755,128.3,3,15,0,11.4,11.5,15.6,11,2006-01,0,13,0,438,7,1029.8(11),1018.4,0,6,18,0,0,1001.5(27),70,1019.3,96,NA
6155A,21.1(25),0,6.5,6,7.7,19.0(10),11.8,0,33/20.6(16),1,60,0,8,3.4(25),0,604,37.4,1,13,0,12.6,12.2,16.6,5,2006-02,0,11,0,354,4,1025.4(07),1016.3,0,3,21,0,0,1002.5(26),68,1017.2,100,NA
6155A,60.8(18),1,7.4,9,10.3,26.6(29),15,0,29/24.2(05),2,62,0,7,5.2(02),1,1085,98.3,1,16,0,14,15.3,20.3,5,2006-03,0,9,0,417,4,1029.0(06),1016.6,0,4,23,0,0,1002.3(18),65,1017.5,114,NA
6155A,12.6(14),0,8.4,1,13.8,27.8(01),17.8,0,34/16.4(17),1,64,0,3,10.4(09),0,772,26.3,2,13,0,18.8,18.3,22.8,3,2006-04,0,4,0,339,6,1019.9(03),1013.5,0,3,21,0,0,1004.6(23),67,1014.3,141,NA
6155A,9.0(02),0,8,5,16.3,33.0(18),20,4,33/18.6(23),0,56,0,2,12.4(07),0,944,10.6,1,15,0,20.4,20.7,25.2,2,2006-05,0,7,0,371,4,1025.1(24),1015.4,0,3,24,0,0,1005.7(03),64,1016.2,160,NA
6155A,1.2(01),0,10.7,0,18.3,34.6(24),22.1,10,12/15.0(01),0,73,0,3,12.8(05),0,1026,2,4,14,0,22.5,23.3,28.3,1,2006-06,1,4,0,331,0,1023.4(01),1015.2,0,12,18,0,0,1009.8(13),55,1016,165,NA
6155A,0.0(--),2,11,0,21,41.6(22),23.4,22,28/15.0(04),0,76,0,0,16.6(02),0,1498,0,1,13,0,24.8,26.3,31.6,0,2006-07,0,2,0,329,0,1021.9(10),1015.5,0,21,10,0,0,1008.2(28),53,1016.3,190,NA
6155A,1.9(17),2,10.9,2,20.8,42.0(01),24.2,17,21/17.5(17),0,80,0,1,16.0(18),0,1254,1.9,0,13,0,25,25.8,30.9,1,2006-08,0,1,0,310,1,1021.5(20),1013.1,0,20,10,1,0,1004.7(03),56,1013.9,187,NA
6155A,3.0(11),0,9,2,19,31.8(08),22,8,33/16.1(14),0,72,0,4,16.0(18),0,1195,6.6,2,13,0,25,23.7,28.5,2,2006-09,0,6,0,341,0,1023.5(04),1014.8,0,6,24,0,0,1007.2(21),60,1015.6,178,NA
6155A,14.6(25),3,5.7,3,16.6,31.6(03),20,3,14/16.4(27),2,50,0,7,12.4(08),0,612,35.2,0,10,0,21.4,20.8,25,5,2006-10,0,7,0,279,7,1025.1(28),1015.3,0,6,18,0,0,1004.5(25),69,1016.1,168,NA
6155A,91.8(07),0,5.2,2,13,30.0(01),18.6,1,33/18.6(22),4,51,0,9,7.0(19),2,394,168,1,12,0,17.2,17,20.9,5,2006-11,0,10,0,332,9,1029.0(30),1019.8,0,6,15,0,0,1008.6(25),72,1020.7,142,NA
6155A,31.5(23),0,6.5,5,8.2,21.2(04),13.8,0,31/19.2(08),1,67,0,6,3.0(25),1,526,42.2,1,14,0,10.8,12.7,17.1,4,2006-12,0,6,0,392,2,1039.2(31),1025.3,0,6,23,0,0,1014.4(08),68,1026.2,104,NA
